Lokasi;Pecel;Lodeh;Bobor;Sup;Karedok;Lalapan;Terong Bakar;Mangut;Otak-otak;Pepes;Sate;Gule;Rawon;Kikil;Cingur
Madiun;95;89;89;94;94;88;93;82;80;79;78;81;79;88;77
Solo;87;95;98;94;92;72;77;83;84;88;70;84;80;71;82
Jogya;86;90;96;99;73;78;76;72;73;77;75;75;78;81;79
Banyumas;92;96;87;96;83;78;77;91;83;75;68;79;74;80;93
Bandung;85;93;96;93;94;95;81;81;75;95;74;68;73;73;80
Bogor;97;95;93;90;76;87;77;84;87;85;67;85;86;93;88
Padang;99;93;91;92;94;76;86;80;69;68;62;59;59;92;93
Bukittinggi;97;96;88;87;77;77;85;71;73;76;43;50;48;85;84
Gayo;91;93;86;88;91;77;72;76;81;71;63;56;46;92;89
Palembang;94;88;93;93;85;74;85;79;75;77;47;53;52;72;94
Metro;92;99;97;96;77;95;75;79;74;83;64;59;58;80;74
Jambi;93;94;91;93;90;90;84;73;71;68;61;45;62;87;91
Riau;91;99;99;94;78;77;92;81;83;76;47;57;50;73;89
Pontianak;93;90;81;90;73;82;77;97;98;91;85;86;81;68;67
Banyuasin;71;93;84;82;77;84;73;89;98;96;71;77;66;68;83
Berau;73;73;88;96;86;71;76;98;99;92;68;77;84;72;80
Balikpapan;75;94;84;90;69;77;81;99;92;94;75;69;69;67;77
Kotawaringin;93;79;77;72;74;67;67;90;92;86;72;84;67;77;68
Makassar;73;92;76;84;66;66;71;72;85;75;77;72;93;86;81
Manado;73;78;87;93;78;77;68;74;70;75;93;73;88;72;81
Bulukumba;95;83;84;71;71;83;77;85;80;85;78;79;71;68;83
Ambon;81;68;79;78;66;65;43;64;50;60;89;95;95;93;87
Ternate;76;66;74;74;54;48;54;44;53;66;97;85;99;88;89
Serui;82;74;73;79;66;61;48;51;29;37;89;94;82;91;96
Merauke;70;77;73;71;64;52;56;38;40;34;90;92;78;92;97
Sorong;74;82;76;75;59;64;63;40;30;31;90;84;80;94;93
